id,dataset,ground_truth,device_pred,cluster_pred,device_correct,cluster_correct,agree
mamabench_v0.2_afrimedqa_6ef10143038c,afrimedqa,E,E,E,1,1,1
mamabench_v0.2_afrimedqa_700d42be047a,afrimedqa,D,A,A,0,0,1
mamabench_v0.2_afrimedqa_71ccee95aed8,afrimedqa,B,B,E,1,0,0
mamabench_v0.2_afrimedqa_730820e6c263,afrimedqa,C,D,D,0,0,1
mamabench_v0.2_afrimedqa_78ee7cc76766,afrimedqa,B,B,A,1,0,0
mamabench_v0.2_afrimedqa_828686b35f40,afrimedqa,C,A,C,0,1,0
mamabench_v0.2_afrimedqa_831d70766314,afrimedqa,A,B,B,0,0,1
mamabench_v0.2_afrimedqa_85b33001a125,afrimedqa,C,C,C,1,1,1
mamabench_v0.2_afrimedqa_8631f4d97163,afrimedqa,A,A,A,1,1,1
mamabench_v0.2_afrimedqa_8869cadc67f2,afrimedqa,E,E,E,1,1,1
mamabench_v0.2_afrimedqa_8c2a58282b4c,afrimedqa,D,A,A,0,0,1
mamabench_v0.2_afrimedqa_9290ca8e34c1,afrimedqa,E,B,E,0,1,0
mamabench_v0.2_afrimedqa_93fd8d46038b,afrimedqa,D,B,B,0,0,1
mamabench_v0.2_afrimedqa_95245d5101e7,afrimedqa,C,B,B,0,0,1
mamabench_v0.2_afrimedqa_98a79ee6ac2c,afrimedqa,A,A,A,1,1,1
mamabench_v0.2_afrimedqa_9b9d8c174ef4,afrimedqa,A,A,A,1,1,1
mamabench_v0.2_afrimedqa_9c48bdb3cfc5,afrimedqa,C,B,B,0,0,1
mamabench_v0.2_afrimedqa_9ff63200ede5,afrimedqa,A,A,A,1,1,1
mamabench_v0.2_afrimedqa_a2d61419d073,afrimedqa,B,A,B,0,1,0
mamabench_v0.2_afrimedqa_a46047bf1063,afrimedqa,C,A,C,0,1,0
mamabench_v0.2_afrimedqa_a59685fb8e40,afrimedqa,B,E,E,0,0,1
mamabench_v0.2_afrimedqa_a6faedabfbe1,afrimedqa,C,C,A,1,0,0
mamabench_v0.2_afrimedqa_a8eae1b5218d,afrimedqa,A,A,B,1,0,0
mamabench_v0.2_afrimedqa_a926a300f60a,afrimedqa,E,C,C,0,0,1
mamabench_v0.2_afrimedqa_ab2613280f1d,afrimedqa,B,A,B,0,1,0
mamabench_v0.2_afrimedqa_b09040ccf632,afrimedqa,A,A,D,1,0,0
mamabench_v0.2_afrimedqa_b9a3324ef73e,afrimedqa,D,C,C,0,0,1
mamabench_v0.2_afrimedqa_bc4f3fb51e74,afrimedqa,E,E,B,1,0,0
mamabench_v0.2_afrimedqa_c316768891da,afrimedqa,C,A,A,0,0,1
mamabench_v0.2_afrimedqa_cc8a80576049,afrimedqa,C,C,C,1,1,1
mamabench_v0.2_afrimedqa_cda40eb972bb,afrimedqa,A,C,C,0,0,1
mamabench_v0.2_afrimedqa_cefa74e67593,afrimedqa,E,E,E,1,1,1
mamabench_v0.2_afrimedqa_d01882bf1452,afrimedqa,E,A,E,0,1,0
mamabench_v0.2_afrimedqa_d058993f8a69,afrimedqa,C,C,A,1,0,0
mamabench_v0.2_afrimedqa_d0a31259751f,afrimedqa,D,A,C,0,0,0
mamabench_v0.2_afrimedqa_d373e7d0eb5f,afrimedqa,C,C,B,1,0,0
mamabench_v0.2_afrimedqa_d39b1dbd3961,afrimedqa,B,D,D,0,0,1
mamabench_v0.2_afrimedqa_d808b208c17e,afrimedqa,D,D,D,1,1,1
mamabench_v0.2_afrimedqa_d8e95fb7fc40,afrimedqa,B,C,C,0,0,1
mamabench_v0.2_afrimedqa_db8e2ad36b9a,afrimedqa,C,C,C,1,1,1
mamabench_v0.2_afrimedqa_dbeb830a194f,afrimedqa,D,D,E,1,0,0
mamabench_v0.2_afrimedqa_dcc447e0a013,afrimedqa,D,A,A,0,0,1
mamabench_v0.2_afrimedqa_e14e90474e42,afrimedqa,C,E,B,0,0,0
mamabench_v0.2_afrimedqa_e57b745188bb,afrimedqa,A,E,E,0,0,1
mamabench_v0.2_afrimedqa_e8bd075abcec,afrimedqa,B,B,B,1,1,1
mamabench_v0.2_afrimedqa_ef81db0f5708,afrimedqa,E,E,B,1,0,0
mamabench_v0.2_afrimedqa_f1af7c9630e7,afrimedqa,D,B,D,0,1,0
mamabench_v0.2_afrimedqa_f2d9dcecc576,afrimedqa,B,B,E,1,0,0
mamabench_v0.2_afrimedqa_f69a6487b574,afrimedqa,E,C,B,0,0,0
mamabench_v0.2_afrimedqa_fd1ad4ddabc5,afrimedqa,D,D,D,1,1,1
mamabench_v0.2_medmcqa_02f902a4-b950-477d-9a01-c959293dbae3,medmcqa,C,B,A,0,0,0
mamabench_v0.2_medmcqa_0bbabc5d-0953-4c69-94b8-018ca6b68f34,medmcqa,D,D,D,1,1,1
mamabench_v0.2_medmcqa_0c732eae-6337-4d27-ad81-7297c4284cec,medmcqa,A,A,D,1,0,0
mamabench_v0.2_medmcqa_0de041cf-97f7-4e3c-8837-e13ee37c4bd2,medmcqa,A,C,A,0,1,0
mamabench_v0.2_medmcqa_0ec8042e-973a-4d15-8fda-08cb20df17c8,medmcqa,C,B,B,0,0,1
mamabench_v0.2_medmcqa_0ee68dcf-42a7-4c5f-9b24-e86776afec5f,medmcqa,A,A,A,1,1,1
mamabench_v0.2_medmcqa_14489a75-1d62-4d80-8146-99c915a9b485,medmcqa,C,C,C,1,1,1
mamabench_v0.2_medmcqa_1553de3b-5a58-46dd-8518-2fc6d6334628,medmcqa,A,C,A,0,1,0
mamabench_v0.2_medmcqa_19fd6b2f-3cc3-49cd-bd92-a8a67a7b19d2,medmcqa,B,B,B,1,1,1
mamabench_v0.2_medmcqa_1e9edf03-ee3a-48d3-9d07-1ce1fac819cd,medmcqa,A,C,C,0,0,1
mamabench_v0.2_medmcqa_20180ba2-aa20-4096-a756-d53a323b9468,medmcqa,B,C,C,0,0,1
mamabench_v0.2_medmcqa_20d2c7b6-f5f1-4922-8e71-111f17478f4d,medmcqa,A,A,A,1,1,1
mamabench_v0.2_medmcqa_2445bd18-c326-4ad4-9c59-3c014317d19d,medmcqa,A,B,B,0,0,1
mamabench_v0.2_medmcqa_24a9caad-cdcc-43bc-a058-d26ed3470bcf,medmcqa,A,B,D,0,0,0
mamabench_v0.2_medmcqa_28045483-578d-45a0-9d40-8853ba8df5ce,medmcqa,B,A,B,0,1,0
mamabench_v0.2_medmcqa_2a7aaf3c-4827-4b59-b1ae-737d922a2d1c,medmcqa,D,C,D,0,1,0
mamabench_v0.2_medmcqa_2ae48d2e-f7f7-436e-87a1-24bd4c000573,medmcqa,C,C,C,1,1,1
mamabench_v0.2_medmcqa_2c2f09dd-e85b-4446-8734-95c861ba039b,medmcqa,A,A,C,1,0,0
mamabench_v0.2_medmcqa_2e31879f-e08e-416e-b946-4111a736539a,medmcqa,C,A,D,0,0,0
mamabench_v0.2_medmcqa_2ea05c64-8249-4be9-83aa-f91f09164452,medmcqa,A,A,B,1,0,0
mamabench_v0.2_medmcqa_2ebba0d9-caf7-4716-a958-87ca7763bde5,medmcqa,B,D,B,0,1,0
mamabench_v0.2_medmcqa_330f620a-c684-4e52-bbc1-69eb4c0fa054,medmcqa,C,C,B,1,0,0
mamabench_v0.2_medmcqa_38fd710f-c0b5-457e-84aa-9809848ad3f1,medmcqa,A,A,D,1,0,0
mamabench_v0.2_medmcqa_3f6e2e06-91a2-4241-92e1-7b18db0f9d02,medmcqa,D,D,D,1,1,1
mamabench_v0.2_medmcqa_3f78f687-67e9-4927-b0d5-2abac1a4e9a6,medmcqa,C,C,C,1,1,1
mamabench_v0.2_medmcqa_40f84df1-a2ea-4167-a016-9d564791dcaf,medmcqa,B,A,A,0,0,1
mamabench_v0.2_medmcqa_47465d28-195f-4050-a6d5-a9f24bc73000,medmcqa,B,B,B,1,1,1
mamabench_v0.2_medmcqa_490653a7-1745-4eea-862d-1432c4209cb3,medmcqa,D,A,A,0,0,1
mamabench_v0.2_medmcqa_4a9c89b7-15e3-4c25-b01c-f2c6b56d168e,medmcqa,C,C,C,1,1,1
mamabench_v0.2_medmcqa_4adef9c7-4007-4389-8f40-1202d41ff933,medmcqa,A,C,C,0,0,1
mamabench_v0.2_medmcqa_4e1b7526-e1b6-442e-9153-05d3950c5249,medmcqa,B,B,B,1,1,1
mamabench_v0.2_medmcqa_5801ed1a-48b9-418b-b8aa-0a932cf866f3,medmcqa,D,A,D,0,1,0
mamabench_v0.2_medmcqa_5aefbec0-bd30-4180-a9f5-34925945cb10,medmcqa,A,B,A,0,1,0
mamabench_v0.2_medmcqa_5f928542-b712-4145-bbfd-f9cb16389c53,medmcqa,A,B,B,0,0,1
mamabench_v0.2_medmcqa_60129dc5-8759-4db4-a67e-37103007a398,medmcqa,A,B,B,0,0,1
mamabench_v0.2_medmcqa_60ae9b46-b76a-4986-b466-f4a62dc5e33b,medmcqa,A,C,D,0,0,0
mamabench_v0.2_medmcqa_621316dd-5ef8-4ba1-953c-6f214b414b56,medmcqa,C,C,C,1,1,1
mamabench_v0.2_medmcqa_63452547-c264-400a-8965-239f1a377431,medmcqa,A,A,A,1,1,1
mamabench_v0.2_medmcqa_638de21f-85a2-48d2-869a-c6e07f74e5df,medmcqa,B,C,D,0,0,0
mamabench_v0.2_medmcqa_63ba2249-5630-48af-bd50-cb30fcccc7e1,medmcqa,A,A,D,1,0,0
mamabench_v0.2_medmcqa_641a73af-2de7-4538-b92b-1408ce0d5b7b,medmcqa,B,B,B,1,1,1
mamabench_v0.2_medmcqa_656853e5-84ee-4e79-bdb7-9eab31cda926,medmcqa,A,D,A,0,1,0
mamabench_v0.2_medmcqa_6779b8fb-46cb-4039-81d6-d19496baf060,medmcqa,D,D,D,1,1,1
mamabench_v0.2_medmcqa_67d52e17-28e5-480a-a1d8-752dbd2d2147,medmcqa,D,A,C,0,0,0
mamabench_v0.2_medmcqa_696f33b4-9e5e-43d7-bd3d-dab5c987c0c4,medmcqa,C,C,C,1,1,1
mamabench_v0.2_medmcqa_697ef2bb-2379-4103-a636-ef683b0c99f7,medmcqa,D,B,B,0,0,1
mamabench_v0.2_medmcqa_6f1ec6fd-8b24-4d77-9946-b5589ae694a0,medmcqa,A,A,B,1,0,0
mamabench_v0.2_medmcqa_6f25df77-11ce-45e1-a3c8-dc827769659a,medmcqa,D,D,D,1,1,1
mamabench_v0.2_medmcqa_6fe64e43-894c-435b-8c0c-a129252057ab,medmcqa,D,B,B,0,0,1
mamabench_v0.2_medmcqa_771e0d93-33f4-473c-900d-c2a78b1c03b6,medmcqa,D,D,D,1,1,1
mamabench_v0.2_medmcqa_77d8e0ce-9e8e-4e5a-afc4-87543ac99909,medmcqa,A,A,B,1,0,0
mamabench_v0.2_medmcqa_78049723-dad0-4136-aab3-be0d70738dc1,medmcqa,C,C,C,1,1,1
mamabench_v0.2_medmcqa_78f061f0-e8f5-4223-994f-6e21e1f04eb3,medmcqa,A,A,A,1,1,1
mamabench_v0.2_medmcqa_79499169-9b69-4f00-a7fa-73e37ae76c3e,medmcqa,B,B,B,1,1,1
mamabench_v0.2_medmcqa_7a603add-33a7-4a96-a9a9-f72b482cb41c,medmcqa,D,B,C,0,0,0
mamabench_v0.2_medmcqa_7c8d6ec0-81f1-4a03-9350-0d10623423ea,medmcqa,D,A,A,0,0,1
mamabench_v0.2_medmcqa_7e221978-9183-49ab-b5f3-3b57293ecda2,medmcqa,A,A,C,1,0,0
mamabench_v0.2_medmcqa_7e2fabf1-3661-4d2e-a939-e205fa64272f,medmcqa,D,D,D,1,1,1
mamabench_v0.2_medmcqa_7e3f5b0e-13fb-4243-9596-c49bb44018c1,medmcqa,C,C,C,1,1,1
mamabench_v0.2_medmcqa_83898b29-bcd9-41dc-a4ce-81a5b699c021,medmcqa,A,A,B,1,0,0
mamabench_v0.2_medmcqa_853c7c17-e1a1-4ddd-b83e-ef2d6d8fa5f8,medmcqa,B,B,B,1,1,1
mamabench_v0.2_medmcqa_8f464855-9284-44e0-8d9b-f7a27be9565e,medmcqa,B,B,B,1,1,1
mamabench_v0.2_medmcqa_8f92483d-1783-4573-afa6-e73a73b168cd,medmcqa,C,C,D,1,0,0
mamabench_v0.2_medmcqa_9338f2cd-5515-4768-ac9f-03bc735974ad,medmcqa,B,B,B,1,1,1
mamabench_v0.2_medmcqa_990ff464-3550-487d-a657-f580f286007e,medmcqa,C,C,D,1,0,0
mamabench_v0.2_medmcqa_9b01ee36-e217-4836-b015-22287b4a15c4,medmcqa,A,A,A,1,1,1
mamabench_v0.2_medmcqa_9c95067a-7e0f-40f4-9c7b-8feb5db0706d,medmcqa,D,B,D,0,1,0
mamabench_v0.2_medmcqa_a1c1f211-dbe0-41b2-a0b2-728ab6437907,medmcqa,C,D,D,0,0,1
mamabench_v0.2_medmcqa_a362f242-175f-432b-8b1b-af6bb32d9e5c,medmcqa,B,B,B,1,1,1
mamabench_v0.2_medmcqa_a4790139-2426-488b-90df-08396c4a3af8,medmcqa,C,C,D,1,0,0
mamabench_v0.2_medmcqa_a4a9dd72-0b53-4edc-aa1f-55245e027b4d,medmcqa,C,A,C,0,1,0
mamabench_v0.2_medmcqa_a6267b47-8b12-4c03-9644-083d87fc956f,medmcqa,A,A,A,1,1,1
mamabench_v0.2_medmcqa_a859e97d-b5e1-41b7-9a9d-8f3672320a75,medmcqa,D,A,A,0,0,1
mamabench_v0.2_medmcqa_abd830c3-1915-4b85-8861-920ded87d674,medmcqa,B,A,C,0,0,0
mamabench_v0.2_medmcqa_ac4c06a7-1a5b-4030-bd92-26233a223dcb,medmcqa,B,A,A,0,0,1
mamabench_v0.2_medmcqa_ac9f271c-18b7-496d-b1aa-fc78da9bf186,medmcqa,A,A,A,1,1,1
mamabench_v0.2_medmcqa_acaabba5-d58e-427a-b935-e64df8cb4eff,medmcqa,B,B,B,1,1,1
mamabench_v0.2_medmcqa_b3fd8ae3-c58a-4280-adca-d02122f6918c,medmcqa,B,B,B,1,1,1
mamabench_v0.2_medmcqa_b5a2fad9-e022-4260-a5e8-d7c2914e5584,medmcqa,B,D,D,0,0,1
mamabench_v0.2_medmcqa_b67961e9-233c-4b0d-879e-302663efd6a9,medmcqa,C,B,B,0,0,1
mamabench_v0.2_medmcqa_bf03dcdb-43e0-4464-8cfa-3ee79e2d7991,medmcqa,D,A,A,0,0,1
mamabench_v0.2_medmcqa_c0304779-20c1-4da2-b5a5-a6fa7f24d71e,medmcqa,A,A,A,1,1,1
mamabench_v0.2_medmcqa_c07d16c3-7e51-4b97-9360-af2e10fceeae,medmcqa,C,A,B,0,0,0
mamabench_v0.2_medmcqa_c33c6284-7b62-469e-8923-e4c81cdeb50e,medmcqa,C,C,C,1,1,1
mamabench_v0.2_medmcqa_cc8c3c17-fda4-4c40-ae05-f82be0560cb2,medmcqa,A,A,A,1,1,1
mamabench_v0.2_medmcqa_ce36e860-95ba-4700-8fd4-00d9f80f8933,medmcqa,C,A,A,0,0,1
mamabench_v0.2_medmcqa_d0a68884-f053-48e3-bed5-944618616376,medmcqa,A,D,D,0,0,1
mamabench_v0.2_medmcqa_d0d3eaf3-ba35-4b2b-a584-76bab8267882,medmcqa,A,D,D,0,0,1
mamabench_v0.2_medmcqa_d223bb09-0b18-4c0f-804e-208f19abbbba,medmcqa,A,A,A,1,1,1
mamabench_v0.2_medmcqa_e26fc57a-f006-41ba-8128-865c5e044ad2,medmcqa,A,A,A,1,1,1
mamabench_v0.2_medmcqa_e56729e2-530b-43ed-af40-494523280bc1,medmcqa,C,A,A,0,0,1
mamabench_v0.2_medmcqa_f282f31f-f13e-4b34-bc89-a366e295e3ff,medmcqa,C,C,C,1,1,1
mamabench_v0.2_medmcqa_f3502443-36d0-4a03-9144-cef17fa5e2ee,medmcqa,A,A,A,1,1,1
mamabench_v0.2_medmcqa_f4a2168f-3235-4d98-aa79-661d87fcbdf0,medmcqa,B,D,B,0,1,0
mamabench_v0.2_medmcqa_f72f0acc-180a-496a-8d04-68b05ac0493f,medmcqa,A,A,D,1,0,0
mamabench_v0.2_medmcqa_f765642e-b175-4b31-8af3-5c8dcac26c60,medmcqa,B,B,B,1,1,1
mamabench_v0.2_medmcqa_fa0ddcdd-0691-41a7-bc23-3317ff3bd07e,medmcqa,B,B,B,1,1,1
mamabench_v0.2_medmcqa_fc6bfd8d-6af8-4b0a-b6a3-bcc287942069,medmcqa,A,A,C,1,0,0
mamabench_v0.2_medmcqa_fe5664f2-b770-4ecc-8401-f633ad9b132c,medmcqa,D,D,D,1,1,1
mamabench_v0.2_medmcqa_fe5ef759-244d-43b9-9270-f98ed1c1f872,medmcqa,A,C,A,0,1,0
mamabench_v0.2_medqa_usmle_03b82c5e997a,medqa_usmle,B,B,C,1,0,0
mamabench_v0.2_medqa_usmle_0d1496e7f116,medqa_usmle,C,A,A,0,0,1
mamabench_v0.2_medqa_usmle_0dab621bc5a0,medqa_usmle,B,D,D,0,0,1
mamabench_v0.2_medqa_usmle_0fa261ed9d17,medqa_usmle,B,H,H,0,0,1
mamabench_v0.2_medqa_usmle_1056f3ec4cb0,medqa_usmle,D,D,D,1,1,1
mamabench_v0.2_medqa_usmle_106680fb085c,medqa_usmle,A,C,A,0,1,0
mamabench_v0.2_medqa_usmle_161f4ead60a5,medqa_usmle,A,A,A,1,1,1
mamabench_v0.2_medqa_usmle_1802cd76bcd5,medqa_usmle,A,A,A,1,1,1
mamabench_v0.2_medqa_usmle_188b9fe8ab22,medqa_usmle,B,B,B,1,1,1
mamabench_v0.2_medqa_usmle_1cba33958e0e,medqa_usmle,E,A,A,0,0,1
mamabench_v0.2_medqa_usmle_201b38000e67,medqa_usmle,I,B,H,0,0,0
mamabench_v0.2_medqa_usmle_2204fab687fc,medqa_usmle,A,A,A,1,1,1
mamabench_v0.2_medqa_usmle_23f14d83a7b2,medqa_usmle,E,E,E,1,1,1
mamabench_v0.2_medqa_usmle_24ef2ab9cc78,medqa_usmle,A,B,B,0,0,1
mamabench_v0.2_medqa_usmle_28e27e091613,medqa_usmle,A,A,A,1,1,1
mamabench_v0.2_medqa_usmle_2981238b5182,medqa_usmle,C,E,B,0,0,0
mamabench_v0.2_medqa_usmle_2d1d2d97cb35,medqa_usmle,E,C,C,0,0,1
mamabench_v0.2_medqa_usmle_2f0b9bdc7ae0,medqa_usmle,C,C,E,1,0,0
mamabench_v0.2_medqa_usmle_3037acd1046e,medqa_usmle,D,D,D,1,1,1
mamabench_v0.2_medqa_usmle_308f5a31c670,medqa_usmle,B,B,B,1,1,1
mamabench_v0.2_medqa_usmle_325c647e5140,medqa_usmle,E,,,0,0,1
mamabench_v0.2_medqa_usmle_3573c6c772c1,medqa_usmle,D,D,B,1,0,0
mamabench_v0.2_medqa_usmle_35d811ea7a53,medqa_usmle,C,C,C,1,1,1
mamabench_v0.2_medqa_usmle_35fccdc62e37,medqa_usmle,D,D,B,1,0,0
mamabench_v0.2_medqa_usmle_399870bcb028,medqa_usmle,D,F,A,0,0,0
mamabench_v0.2_medqa_usmle_3a45f271351b,medqa_usmle,D,D,F,1,0,0
mamabench_v0.2_medqa_usmle_4070fb2b5c3d,medqa_usmle,C,C,C,1,1,1
mamabench_v0.2_medqa_usmle_47b1516d413e,medqa_usmle,A,A,A,1,1,1
mamabench_v0.2_medqa_usmle_4830fd5fb84a,medqa_usmle,A,A,C,1,0,0
mamabench_v0.2_medqa_usmle_4a22ffabb197,medqa_usmle,D,D,D,1,1,1
mamabench_v0.2_medqa_usmle_4eb815d0c4fe,medqa_usmle,E,A,A,0,0,1
mamabench_v0.2_medqa_usmle_501321bc0ecd,medqa_usmle,A,A,B,1,0,0
mamabench_v0.2_medqa_usmle_520fe4946a90,medqa_usmle,D,A,A,0,0,1
mamabench_v0.2_medqa_usmle_52299402ea36,medqa_usmle,A,A,A,1,1,1
mamabench_v0.2_medqa_usmle_53499a1dc33b,medqa_usmle,C,C,C,1,1,1
mamabench_v0.2_medqa_usmle_53a5042aebf8,medqa_usmle,B,A,A,0,0,1
mamabench_v0.2_medqa_usmle_57f2196bbdd5,medqa_usmle,F,B,G,0,0,0
mamabench_v0.2_medqa_usmle_62266708cf5b,medqa_usmle,E,A,E,0,1,0
mamabench_v0.2_medqa_usmle_65732c2f3655,medqa_usmle,C,C,C,1,1,1
mamabench_v0.2_medqa_usmle_6a11ae8ace4b,medqa_usmle,E,E,E,1,1,1
mamabench_v0.2_medqa_usmle_6aaf441a4c5b,medqa_usmle,C,B,B,0,0,1
mamabench_v0.2_medqa_usmle_6b877eac9efc,medqa_usmle,A,B,B,0,0,1
mamabench_v0.2_medqa_usmle_6d3e1610cc98,medqa_usmle,D,D,A,1,0,0
mamabench_v0.2_medqa_usmle_6efce006077b,medqa_usmle,E,A,E,0,1,0
mamabench_v0.2_medqa_usmle_6f2d2ea9e46e,medqa_usmle,D,E,E,0,0,1
mamabench_v0.2_medqa_usmle_6f97e974bf5c,medqa_usmle,A,A,A,1,1,1
mamabench_v0.2_medqa_usmle_6fc7736a3e67,medqa_usmle,A,B,E,0,0,0
mamabench_v0.2_medqa_usmle_711d27e205aa,medqa_usmle,E,D,D,0,0,1
mamabench_v0.2_medqa_usmle_732c9adedcf8,medqa_usmle,A,C,E,0,0,0
mamabench_v0.2_medqa_usmle_73bc6285dfce,medqa_usmle,D,A,D,0,1,0
mamabench_v0.2_medqa_usmle_7556e722cf85,medqa_usmle,E,E,E,1,1,1
mamabench_v0.2_medqa_usmle_756d46625e62,medqa_usmle,B,E,E,0,0,1
mamabench_v0.2_medqa_usmle_7bb591b34de9,medqa_usmle,A,A,B,1,0,0
mamabench_v0.2_medqa_usmle_7bbe89cb9e80,medqa_usmle,E,D,D,0,0,1
mamabench_v0.2_medqa_usmle_7c84e9ffe527,medqa_usmle,D,D,D,1,1,1
mamabench_v0.2_medqa_usmle_85300219677d,medqa_usmle,C,C,C,1,1,1
mamabench_v0.2_medqa_usmle_859dd8c278ee,medqa_usmle,E,A,A,0,0,1
mamabench_v0.2_medqa_usmle_85caf4dbccca,medqa_usmle,D,A,B,0,0,0
mamabench_v0.2_medqa_usmle_86b8645b16af,medqa_usmle,A,A,B,1,0,0
mamabench_v0.2_medqa_usmle_87418a265522,medqa_usmle,C,A,A,0,0,1
mamabench_v0.2_medqa_usmle_87ee8d02eb14,medqa_usmle,B,B,B,1,1,1
mamabench_v0.2_medqa_usmle_8a46985eaafb,medqa_usmle,B,B,B,1,1,1
mamabench_v0.2_medqa_usmle_8c3b4f2c8aad,medqa_usmle,E,C,C,0,0,1
mamabench_v0.2_medqa_usmle_8c55f73cb3f7,medqa_usmle,C,C,C,1,1,1
mamabench_v0.2_medqa_usmle_8c5cbbc3f482,medqa_usmle,B,B,B,1,1,1
mamabench_v0.2_medqa_usmle_914913525616,medqa_usmle,C,C,C,1,1,1
mamabench_v0.2_medqa_usmle_9345197ea836,medqa_usmle,E,E,E,1,1,1
mamabench_v0.2_medqa_usmle_9ebe6f91b448,medqa_usmle,C,C,C,1,1,1
mamabench_v0.2_medqa_usmle_9f14a5f00584,medqa_usmle,A,A,A,1,1,1
mamabench_v0.2_medqa_usmle_a2e6dae183b7,medqa_usmle,D,D,D,1,1,1
mamabench_v0.2_medqa_usmle_a8635876cf52,medqa_usmle,B,B,B,1,1,1
